classification,verb_id,frequency_rank,verb,def_1,def_2,indef_3,indef_4,something_5,extra theme,POSSESSIVE,plural recipent,notes
non-alternating,1,1,said,her goodbye,the words,a word,a prayer,something,,1,,
non-alternating,2,2,provided,the report,the food,some information,some blankets,something,permission,,1,
non-alternating,3,3,reported,the news,the information,an idea,some numbers,something,the findings,,,
non-alternating,4,4,explained,the problem,the story,an idea,some headlines,something,the concept,,,
non-alternating,5,5,raised,the problem,the ladder,a bucket,her hand,something,the bucket,1,,
non-alternating,6,6,returned,the book,the shirt,some containers,a favor,something,the movie,,,
non-alternating,7,7,described,the problem,the story,an idea,a headline,something,the concept,,,
non-alternating,8,8,dropped,the rope,the invitation,a basket,a package,something,,,,
non-alternating,9,9,stated,the case,the facts,an idea,a result,something,the outcome,,,
non-alternating,10,10,mentioned,the news,the gossip,a rumor,a concept,something,the point,,,
non-alternating,11,11,presented,the story,the report,a photograph,a painting,something,the demo,,,
non-alternating,12,12,revealed,the end,the story,some news,a winner,something,the results,,,
non-alternating,13,13,addressed,the speech,the note,a message,a point,something,the speech,,,
non-alternating,14,14,sang,the song,the aria,a lullaby,a melody,something,the chorus,,,
non-alternating,15,15,admitted,the mistake,the error,the transgression,a slip-up,something,the crime,,,
non-alternating,16,16,referred,the applicants,the questions,some queries,some complaints,something,the people,,,
non-alternating,17,17,announced,the news,the outcome,some new results,some new findings,something,the arrival,,,
non-alternating,18,18,delivered,the package,the food,a book,a report,something,the news,1,,
non-alternating,19,19,expressed,her good-wishes,her condolences,a sentiment,a thought,something,HER feelings,1,,
non-alternating,20,20,introduced,the suggestion,the proposal,a candidate,a winner,something,th concept,,,
non-alternating,21,21,contributed,the documents,the money,some food,some paintings,something,,,,
non-alternating,22,22,demonstrated,the software,her goodwill,a tool,a move,something,,1,,
non-alternating,23,23,recommended,the book,the movie,a show,a band,something,the store,,,
non-alternating,24,24,lifted,the rope,the bucket,a tool,an instrument,something,the tape,,,
non-alternating,25,25,repeated,the answer,the question,some words,a message,something,the sentence,,,
non-alternating,26,26,declared,her feelings,her intentions,an allegiance,a commitment,something,the end,1,,
non-alternating,27,27,proposed,the suggestion,the plan,a direction,an idea,something,the project,,,
non-alternating,28,28,screamed,the directions,the instructions,some news,a name,something,,,,
non-alternating,29,29,displayed,the book,the sculpture,a photograph,a painting,something,the demo,,,
non-alternating,30,30,lowered,the ladder,the bucket,a hammer,an instrument,something,the tape,,,
