sent_id,DOsentence,PDsentence,realized_construction,Particle,Remarks,Coordination_of_Theme,Coordination_of_Recipient,
0,Mary gave it some variety.,Mary gave some variety to it.,DO,-,,-,-,
1,Maria paid you attention.,Maria paid attention to you.,PD,-,,-,-,
2,Bob gave select companies it.,Bob gave it to select companies.,PD,out,,-,-,
3,Bob gave every teacher a hundred percent raise.,Bob gave a hundred percent raise to every teacher.,DO,-,,-,-,
4,Juan gave the people all that money.,Juan gave all that money to the people.,PD,-,,-,-,
5,It didn't do us any good.,It didn't do any good to us.,DO,-,,-,-,
6,Mary gave me it.,Mary gave it to me.,PD,-,,-,-,
7,Linda gave me one.,Linda gave one to me.,DO,-,,-,-,
8,Bob sent her messages.,Bob sent messages to her.,DO,-,,-,-,
9,Bob took her the actual paperwork.,Bob took the actual paperwork to her.,DO,-,,-,-,
10,We paid them their royalties.,We paid their royalties to them.,DO,-,,-,-,
11,Michael gave the original artist or the original composer the credit that is really due to them.,Michael gave the credit that is really due to them to the original artist or the original composer.,DO,-,pronoun placement?,-,+,
12,Linda gave us a good idea.,Linda gave a good idea to us.,DO,back,,-,-,
13,Alice gave you books.,Alice gave books to you.,DO,-,,-,-,
14,Alice gave me hers.,Alice gave hers to me.,DO,-,,-,-,
15,Alice gave me a break.,Alice gave a break to me.,DO,-,,-,-,
16,It cost the taxpayers a fortune.,It cost a fortune to the taxpayers.,DO,-,,-,-,
17,John gave me some examples.,John gave some examples to me.,DO,-,,-,-,
18,Maria gave it a thumbs down.,Maria gave a thumbs down to it.,DO,-,,-,-,
19,We taught our kids as much as we could.,We taught as much as we could to our kids.,DO,-,,-,-,
20,Michael offered him a commission as a captain.,Michael offered a commission as a captain to him.,DO,-,,-,-,
21,We gave them a free election.,We gave a free election to them.,DO,-,,-,-,
22,John offered you a thousand dollars.,John offered a thousand dollars to you.,DO,-,,-,-,
23,Juan gave you full exercise.,Juan gave full exercise to you.,DO,-,,-,-,
24,It cost me about eight dollars.,It cost about eight dollars to me.,DO,-,,-,-,
25,Mary gave him them.,Mary gave them to him.,PD,-,,-,-,
26,Bob gave him them.,Bob gave them to him.,PD,-,,-,-,
27,John gave all the ladies a hard time.,John gave a hard time to all the ladies.,DO,-,,-,-,
28,Mary gave it a little more business type atmosphere.,Mary gave a little more business type atmosphere to it.,DO,-,,-,-,
29,Linda flipped me the finger.,Linda flipped the finger to me.,DO,-,,-,-,
30,Michael gave her it.,Michael gave it to her.,PD,-,,-,-,
31,Juan gave the girl a hug.,Juan gave a hug to the girl.,DO,-,,-,-,
32,It gave your stomach a chance to relax.,It gave a chance to relax to your stomach.,DO,-,,-,-,
33,Maria gave you all the nutrients and vitamins.,Maria gave all the nutrients and vitamins to you.,DO,-,,-,-,
34,John gave him like a scholarship.,John gave like a scholarship to him.,DO,-,,-,-,
35,Mary gave you a little spending money.,Mary gave a little spending money to you.,DO,-,,-,-,
36,Mary gave me one day.,Mary gave one day to me.,DO,-,,-,-,
37,Michael showed them the numbers.,Michael showed the numbers to them.,DO,-,,-,-,
38,Linda gave it a great deal of thought.,Linda gave a great deal of thought to it.,DO,-,,-,-,
40,Juan sent me a credit card.,Juan sent a credit card to me.,DO,-,,-,-,
41,Mary gave you a credit card.,Mary gave a credit card to you.,DO,-,,-,-,
43,You cost yourself more money.,You cost more money to yourself.,DO,-,,-,-,
44,It cost us money that we didn't feel like we should have had to pay.,It cost money that we didn't feel like we should have had to pay to us.,DO,-,,-,-,
45,Bob gave you some space for yourself.,Bob gave some space for yourself to you.,DO,-,,-,-,
46,Juan gave me something that I can create.,Juan gave something that I can create to me.,DO,-,,-,-,
47,John told you the truth.,John told the truth to you.,DO,-,,-,-,
