[SEP] the man [MASK] her a [MASK] . [SEP]
gave	look
shot	smile
threw	grin
flashed	glance
offered	nod
handed	hug
tossed	wink
sent	glare
slid	salute
passed	moment
flipped	kiss
cast	wave
gives	shove
flicked	beer
blew	smirk
cut	frown
poured	bow
slipped	shake
shoots	stare
showed	scowl
spared	card
flung	shrug
asked	gun
made	drink
owed	hand
dealt	lift
issued	squeeze
did	laugh
wished	slap
offers	sign
swept	question
swung	pistol
shook	cigarette
earned	little
turned	knife
tipped	pat
drew	towel
brought	crack
waved	break
pushed	message
struck	cup
flashes	medal
awarded	grimace
shoved	greeting
throws	second
fed	compliment
pulled	ring
allowed	shot
rolled	pass
smiled	badge
